,Player,Tm,Pos,G,GS,Solo,Sk,Int,Year
0,Derrick Brooks,TAM,RLB,16,16,123.0,1.0,1.0,2000
1,Ronald McKinnon,ARI,MLB,16,16,119.0,4.0,0.0,2000
2,Anthony Simmons,SEA,LLB,16,16,119.0,4.0,2.0,2000
3,Pat Tillman,ARI,SS,16,16,118.0,1.5,1.0,2000
4,Donnie Edwards,KAN,RLB,16,16,114.0,1.0,2.0,2000
5,Takeo Spikes,CIN,RLB,16,16,109.0,2.0,2.0,2000
6,Ray Lewis,BAL,MLB,16,16,108.0,3.0,2.0,2000
7,London Fletcher,STL,MLB,16,15,106.0,5.5,4.0,2000
8,Mike Peterson,IND,RLB,16,16,103.0,0.0,2.0,2000
9,Junior Seau,SDG,RLB,16,16,103.0,3.5,2.0,2000
10,Marvin Jones,NYJ,RILB,16,16,102.0,1.0,0.0,2000
11,Rodney Harrison,SDG,SS,16,16,101.0,6.0,6.0,2000
12,Greg Biekert,OAK,MLB,16,16,100.0,2.0,0.0,2000
13,Jeremiah Trotter,PHI,MLB,16,16,99.0,3.0,1.0,2000
14,Randall Godfrey,TEN,MLB,16,16,98.0,3.0,2.0,2000
15,Ed McDaniel,MIN,RLB,16,15,98.0,2.0,0.0,2000
16,Brian Urlacher,CHI,MLB,16,14,98.0,8.0,2.0,2000
17,Mike Minter,CAR,SS,16,16,91.0,2.0,2.0,2000
18,Lawyer Milloy,NWE,SS,16,16,90.0,0.0,2.0,2000
19,Marvcus Patton,KAN,MLB,16,15,89.0,1.0,2.0,2000
20,Sam Cowart,BUF,RILB,12,12,88.0,5.5,2.0,2000
21,Earl Holmes,PIT,RILB,16,16,87.0,1.0,0.0,2000
22,Wali Rainer,CLE,MLB,16,16,87.0,1.0,1.0,2000
23,Mike Brown,CHI,FS,16,16,84.0,0.0,1.0,2000
24,Kailee Wong,MIN,MLB,16,16,84.0,2.0,2.0,2000
25,Sam Shade,WAS,SS,16,14,83.0,1.0,2.0,2000
26,Jason Belser,IND,FS,16,16,80.0,5.0,0.0,2000
27,Darryl Williams,CIN,FS,16,16,80.0,0.0,1.0,2000
28,Lester Towns,CAR,MLB,16,14,79.0,0.0,0.0,2000
29,Eric Brown,DEN,FS,16,16,78.0,1.0,3.0,2000
30,Dexter Coakley,DAL,RLB,16,16,78.0,0.0,0.0,2000
31,Billy Jenkins,DEN,SS,16,16,78.0,0.0,4.0,2000
32,Nate Wayne,GNB,RLB,16,13,78.0,2.0,0.0,2000
33,Stephen Boyd,DET,MLB,15,15,77.0,0.5,1.0,2000
34,Jessie Armstead,NYG,RLB,16,16,76.0,5.0,1.0,2000
35,Bernardo Harris,GNB,MLB,16,16,76.0,2.0,0.0,2000
36,Marty Carter,ATL,SS,16,16,75.0,2.0,0.0,2000
37,Robert Griffith,MIN,SS,16,16,75.0,1.0,1.0,2000
38,Sammy Knight,NOR,SS,16,16,75.0,2.0,5.0,2000
39,Shawn Springs,SEA,LCB,16,16,75.0,0.0,2.0,2000
40,George Koonce,SEA,MLB,16,16,74.0,1.5,1.0,2000
41,Marty Moore,CLE,RLB,16,9,74.0,1.0,1.0,2000
42,Shaun Williams,NYG,FS,16,16,74.0,0.0,3.0,2000
43,Jerome Woods,KAN,FS,16,16,74.0,2.0,2.0,2000
44,Marquis Smith,CLE,SS,16,16,73.0,1.0,0.0,2000
45,Ronde Barber,TAM,RCB,16,16,72.0,5.5,2.0,2000
46,Chad Brown,SEA,RLB,16,16,72.0,6.0,1.0,2000
47,Kevin Hardy,JAX,LLB/RLB,16,16,72.0,3.0,1.0,2000
48,Brock Marion,MIA,FS,16,16,72.0,0.0,5.0,2000
49,Darren Sharper,GNB,FS,16,16,72.0,1.0,9.0,2000
50,Derek Smith,WAS,MLB,16,14,72.0,1.0,0.0,2000
51,Greg Wesley,KAN,SS,16,16,72.0,1.0,2.0,2000
