,Player,Tm,Pos,G,GS,Rec,RecYds,RecTD,Year
16,Marshall Faulk,STL,RB,14,14,81,830,8,2000
28,Tiki Barber,NYG,RB,16,12,70,719,1,2000
33,Charlie Garner,SFO,RB,16,15,68,647,3,2000
41,Ricky Watters,SEA,RB,16,16,63,613,2,2000
39,Edgerrin James,IND,RB,16,16,63,594,5,2000
24,Michael Pittman,ARI,RB,16,12,73,579,2,2000
23,Ahman Green,GNB,RB,16,11,73,559,3,2000
29,Curtis Martin,NYJ,RB,16,16,70,508,2,2000
61,Kevin Faulk,NWE,RB,16,9,51,465,1,2000
64,Eddie George,TEN,RB,16,16,50,453,2,2000
76,Warrick Dunn,TAM,RB,16,14,44,422,1,2000
77,Ricky Williams,NOR,RB,10,10,44,409,1,2000
80,Jamal Anderson,ATL,RB,16,16,42,382,0,2000
69,Terrell Fletcher,SDG,RB,16,6,48,355,1,2000
96,Robert Smith,MIN,RB,16,16,36,348,3,2000
100,Tim Biakabutuka,CAR,RB,12,11,34,341,2,2000
103,Stephen Davis,WAS,RB,15,15,33,313,0,2000
111,Chris Warren,2TM,RB,14,1,32,303,1,2000
131,Randy Jordan,OAK,RB,16,0,27,299,1,2000
132,Jamal Lewis,BAL,RB,16,13,27,296,0,2000
86,James Allen,CHI,RB,16,15,39,291,1,2000
110,James Stewart,DET,RB,16,16,32,287,1,2000
143,Darnell Autry,PHI,RB,11,7,24,275,1,2000
106,Shawn Bryson,BUF,RB,16,7,32,271,2,2000
93,Sammy Morris,BUF,RB,12,8,37,268,1,2000
97,Fred Taylor,JAX,RB,13,13,36,240,2,2000
107,Priest Holmes,BAL,RB,16,2,32,221,0,2000
119,Chad Morton,NOR,RB,16,3,30,213,0,2000
108,Thomas Jones,ARI,RB,14,4,32,208,0,2000
117,Lamar Smith,MIA,RB,15,15,31,201,2,2000
142,Duce Staley,PHI,RB,5,5,25,201,0,2000
94,Travis Prentice,CLE,RB,16,11,37,191,1,2000
146,Mike Anderson,DEN,RB,16,12,23,169,0,2000
147,Obafemi Ayanbadejo,BAL,RB,8,4,23,168,1,2000
164,Brandon Bennett,CIN,RB,16,0,19,168,0,2000
172,Corey Dillon,CIN,RB,16,16,18,158,0,2000
163,Tyrone Wheatley,OAK,RB,14,13,20,156,1,2000
222,Anthony Johnson,JAX,RB,12,3,12,153,0,2000
190,Dorsey Levens,GNB,RB,5,5,16,146,0,2000
215,Napoleon Kaufman,OAK,RB,14,2,13,127,1,2000
162,J.R. Redmond,NWE,RB,12,5,20,126,2,2000
193,Thurman Thomas,MIA,RB,9,0,16,117,1,2000
196,Mario Bates,DET,RB,13,0,15,109,0,2000
227,Chris Fuamatu-Ma'afala,PIT,RB,7,1,11,107,0,2000
201,Autry Denson,MIA,RB,11,0,14,105,0,2000
187,Jermaine Fazande,SDG,RB,13,7,16,104,0,2000
218,Jamel White,CLE,RB,13,0,13,100,0,2000
212,Jerome Bettis,PIT,RB,16,16,13,97,0,2000
191,Adrian Murrell,WAS,RB,15,0,16,93,0,2000
235,Richard Huntley,PIT,RB,13,0,10,91,0,2000
261,Sedrick Irvin,DET,RB,6,0,8,90,0,2000
216,Brian Mitchell,PHI,RB,16,1,13,89,1,2000
229,Emmitt Smith,DAL,RB,16,16,11,79,0,2000
206,Errict Rhett,CLE,RB,5,4,14,78,0,2000
194,Kimble Anders,KAN,RB,15,7,15,76,0,2000
209,Michael Wiley,DAL,RB,10,0,14,72,1,2000
254,Bernie Parmalee,NYJ,RB,14,0,9,66,0,2000
236,J.J. Johnson,MIA,RB,13,1,10,61,0,2000
244,Justin Watson,STL,RB,14,2,10,56,0,2000
354,Paul Smith,SFO,RB,10,0,2,55,0,2000
253,De'Mond Parker,GNB,RB,8,0,9,50,0,2000
325,Brock Olivo,DET,RB,13,0,3,50,0,2000
286,Skip Hicks,WAS,RB,10,1,5,43,0,2000
281,Shaun Alexander,SEA,RB,16,1,5,41,0,2000
282,Michael Bates,CAR,RB,16,0,5,38,0,2000
265,Rodney Thomas,TEN,RB,16,0,8,35,1,2000
291,Brian Milne,NOR,RB,16,2,5,33,1,2000
314,Moe Williams,MIN,RB,16,0,4,31,0,2000
322,Chris Howard,JAX,RB,2,1,3,26,0,2000
370,Chris Floyd,2TM,RB,13,0,1,21,0,2000
307,Raymont Harris,2TM,RB,4,0,4,20,0,2000
330,Antowain Smith,BUF,RB,11,3,3,20,0,2000
379,Amp Lee,PHI,RB,3,0,1,20,0,2000
323,Terry Kirby,OAK,RB,2,0,3,19,0,2000
333,Donnell Bennett,KAN,RB,7,2,2,17,0,2000
339,Mike Cloud,KAN,RB,16,4,2,16,0,2000
394,Aaron Stecker,TAM,RB,10,0,1,15,0,2000
332,Rabih Abdullah,TAM,RB,12,0,2,14,0,2000
338,Kenny Bynum,SDG,RB,14,0,2,13,0,2000
319,Ron Dayne,NYG,RB,16,4,3,11,0,2000
353,Harold Shaw,NWE,RB,16,0,2,11,0,2000
320,Olandis Gary,DEN,RB,1,0,3,10,0,2000
337,Reggie Brown,SEA,RB,12,1,2,9,0,2000
324,Jonathan Linton,BUF,RB,14,2,3,8,1,2000
382,Glyn Milburn,CHI,RB,16,0,1,8,0,2000
356,Terry Allen,NOR,RB,4,3,1,7,0,2000
358,Marlon Barnes,CHI,RB,13,0,1,7,0,2000
360,Robert Chancey,SDG,RB,4,3,1,6,0,2000
362,KaRon Coleman,DEN,RB,9,0,1,5,0,2000
393,Maurice Smith,ATL,RB,10,0,1,5,0,2000
401,Clarence Williams,ARI,RB,2,0,1,5,0,2000
342,Terrell Davis,DEN,RB,5,4,2,4,0,2000
359,Trung Canidate,STL,RB,3,0,1,4,0,2000
375,Ronney Jenkins,SDG,RB,16,0,1,1,0,2000
392,Detron Smith,DEN,RB,16,0,1,1,1,2000
372,Herbert Goodman,GNB,RB,5,0,1,0,0,2000
407,Mike Green,TEN,RB,1,0,0,0,0,2000
415,Basil Mitchell,GNB,RB,1,0,0,0,0,2000
416,Frank Moreau,KAN,RB,11,0,0,0,0,2000
419,Ron Rivers,ATL,RB,6,0,0,0,0,2000
420,Charlie Rogers,SEA,RB,15,0,0,0,0,2000
442,Marshall Faulk,STL,RB,14,14,83,765,9,2001
465,Duce Staley,PHI,RB,13,10,63,626,2,2001
468,Priest Holmes,KAN,RB,16,16,62,614,2,2001
467,Ahman Green,GNB,RB,16,16,62,594,2,2001
456,Charlie Garner,OAK,RB,16,16,72,578,2,2001
455,Tiki Barber,NYG,RB,14,9,72,577,0,2001
461,Warrick Dunn,TAM,RB,13,12,68,557,3,2001
470,Ricky Williams,NOR,RB,16,16,60,511,1,2001
503,Jamel White,CLE,RB,16,7,44,418,1,2001
473,LaDainian Tomlinson,SDG,RB,16,16,59,367,0,2001
508,Garrison Hearst,SFO,RB,16,16,41,347,1,2001
502,Shaun Alexander,SEA,RB,16,12,44,343,2,2001
514,Lamont Warren,DET,RB,16,3,40,336,1,2001
484,Curtis Martin,NYJ,RB,16,16,53,320,0,2001
520,Eddie George,TEN,RB,16,16,37,279,0,2001
506,Michael Pittman,ARI,RB,15,14,42,264,0,2001
549,Travis Minor,MIA,RB,16,0,29,263,1,2001
580,Kevan Barlow,SFO,RB,15,0,22,247,1,2001
578,James Stewart,DET,RB,11,10,23,242,1,2001
546,Lamar Smith,MIA,RB,16,16,30,234,2,2001
605,Maurice Smith,ATL,RB,16,12,19,230,1,2001
532,Corey Dillon,CIN,RB,16,16,34,228,3,2001
547,Michael Bennett,MIN,RB,13,13,29,226,1,2001
533,Dominic Rhodes,IND,RB,15,10,34,224,0,2001
579,Moe Williams,BAL,RB,15,2,23,210,0,2001
550,Stephen Davis,WAS,RB,16,16,28,205,0,2001
542,James Allen,CHI,RB,16,7,30,203,1,2001
565,Edgerrin James,IND,RB,6,6,24,193,0,2001
604,Antowain Smith,NWE,RB,16,15,19,192,1,2001
543,Kevin Faulk,NWE,RB,15,1,30,189,2,2001
574,Terrell Fletcher,SDG,RB,13,0,23,184,0,2001
608,Elvis Joseph,JAX,RB,14,3,18,183,2,2001
585,Travis Henry,BUF,RB,13,12,22,179,0,2001
587,Anthony Thomas,CHI,RB,14,10,22,178,0,2001
631,Deuce McAllister,NOR,RB,16,4,15,166,1,2001
576,Stacey Mack,JAX,RB,16,11,23,165,1,2001
567,Dorsey Levens,GNB,RB,15,1,24,159,1,2001
613,Trung Canidate,STL,RB,16,2,17,154,0,2001
654,Amos Zereoue,PIT,RB,14,0,13,154,1,2001
